Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp1	1	4	1	1	0	1	4	2	5	2	2	0	0	2	3	0	1	1
Bacteria|Acidobacteria|Unassigned	5	6	2	3	8	4	4	10	3	3	1	7	1	3	49	1	0	4
Bacteria|Acidobacteria|Vicinamibacteria	2	7	1	1	1	2	26	9	10	6	22	28	15	5	15	10	4	6
Bacteria|Actinobacteria|Acidimicrobiia	63	80	81	58	59	70	140	100	80	87	108	116	85	94	104	77	81	72
Bacteria|Actinobacteria|Actinobacteria	2370	3933	3215	3006	1807	2289	2388	2975	3119	2646	2877	2400	3384	2704	2976	3351	3517	3093
Bacteria|Actinobacteria|Coriobacteriia	7	6	6	1	0	4	18	14	13	0	7	19	5	4	14	9	2	4
Bacteria|Actinobacteria|Nitriliruptoria	7	5	5	1	1	7	6	16	5	6	8	12	2	9	7	10	3	5
Bacteria|Actinobacteria|Rubrobacteria	2	15	6	6	1	6	13	9	4	6	4	15	10	5	7	8	14	6
Bacteria|Actinobacteria|Thermoleophilia	129	177	102	141	104	169	229	215	134	162	176	227	162	112	140	110	157	132
Bacteria|Actinobacteria|Unassigned	14	28	7	16	2	33	15	34	23	10	16	19	23	10	28	14	11	17
Bacteria|Bacteroidetes|Chitinophagia	18	9	8	10	6	9	61	36	57	48	35	28	44	64	41	45	31	21
Bacteria|Bacteroidetes|Cytophagia	116	78	34	40	53	20	168	100	157	253	122	89	144	140	169	171	79	112
Bacteria|Bacteroidetes|Flavobacteriia	176	214	923	314	579	226	169	759	739	541	237	222	453	528	323	229	453	523
Bacteria|Bacteroidetes|Sphingobacteriia	14	7	8	14	22	3	6	7	13	11	11	12	13	31	10	8	17	18
Bacteria|Bacteroidetes|Unassigned	2	2	0	2	0	5	1	1	0	7	0	0	0	0	1	0	0	3
Bacteria|Chlamydiae|Chlamydiia	2	1	0	0	1	3	5	2	4	8	1	0	0	1	10	1	0	7
Bacteria|Chloroflexi|Chloroflexia	140	189	63	141	185	93	122	263	113	146	198	156	448	95	154	188	195	205
Bacteria|Firmicutes|Bacilli	215	280	218	464	149	258	619	348	287	370	237	561	137	87	160	122	118	152
Bacteria|Firmicutes|Clostridia	2	55	8	6	24	6	13	16	11	6	15	13	2	7	9	15	19	30
Bacteria|Firmicutes|Unassigned	1	1	4	2	1	7	0	0	1	2	3	3	0	1	0	2	0	1
Bacteria|Gemmatimonadetes|Gemmatimonadetes	16	21	13	14	7	13	22	21	17	14	17	16	9	15	13	17	12	20
Bacteria|Nitrospirae|Nitrospira	5	7	5	8	3	9	16	11	13	8	13	18	12	10	14	41	15	20
Bacteria|Planctomycetes|Phycisphaerae	4	5	0	2	0	1	4	1	0	0	2	5	2	1	1	4	1	3
Bacteria|Planctomycetes|Planctomycetacia	4	22	14	6	1	8	54	69	31	19	28	42	22	19	26	16	14	10
Bacteria|Proteobacteria|Alphaproteobacteria	1955	2083	2851	2522	2939	2631	2142	1749	1384	1716	2075	1943	1610	1828	1807	1925	1937	1901
Bacteria|Proteobacteria|Betaproteobacteria	3865	2778	3870	4230	5793	4419	2445	2054	3023	3101	3029	2463	3444	4449	3143	3374	3615	3251
Bacteria|Proteobacteria|Deltaproteobacteria	521	428	391	394	294	523	553	400	452	487	493	508	408	411	540	410	401	516
Bacteria|Proteobacteria|Gammaproteobacteria	775	711	818	836	934	839	1085	937	875	994	1126	1091	739	892	1008	969	935	1102
Bacteria|Proteobacteria|Unassigned	158	181	91	102	94	113	197	148	162	133	167	158	204	136	181	168	146	208
Bacteria|Spirochaetes|Spirochaetia	6	3	9	9	13	4	9	9	11	16	14	9	5	20	12	17	6	22
Bacteria|Unassigned|Unassigned	41	58	23	32	32	36	58	50	50	43	54	58	70	34	38	35	45	35
Bacteria|Verrucomicrobia|Opitutae	1	1	2	2	3	3	3	3	11	9	17	24	15	10	16	9	7	6
Bacteria|Verrucomicrobia|Verrucomicrobiae	10	4	11	1	5	8	19	9	21	8	21	19	10	10	12	15	6	8
